ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,MKT_CARRIER,windows_tz_org,windows_tz_dest,addition_org,addition_dest,CRS_DEP_TIME_EST,CRS_ARR_TIME_EST,fema_region_org,fema_region_dest
AUS,DFW,1235,1344,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,1335,1444,6.0,6.0
AUS,DFW,641,751,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,741,851,6.0,6.0
AUS,DFW,846,957,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,946,1057,6.0,6.0
AUS,DFW,1642,1751,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,1742,1851,6.0,6.0
AUS,DFW,1032,1141,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,1132,1241,6.0,6.0
AUS,DFW,1329,1438,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,1429,1538,6.0,6.0
AUS,DFW,1440,1550,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,1540,1650,6.0,6.0
AUS,DFW,539,646,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,639,746,6.0,6.0
AUS,DFW,500,607,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,600,707,6.0,6.0
AUS,DFW,2000,2110,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,2100,2210,6.0,6.0
AUS,DFW,713,823,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,813,923,6.0,6.0
AUS,DFW,926,1035,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,1026,1135,6.0,6.0
AUS,DFW,1823,1935,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,1923,2035,6.0,6.0
AUS,DFW,2135,2242,10423,11298,AA,Central Standard Time,Central Standard Time,100,100,2235,2342,6.0,6.0
ORD,DFW,2050,2326,13930,11298,NK,Central Standard Time,Central Standard Time,100,100,2150,2426,5.0,6.0
ORD,DFW,505,735,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,605,835,5.0,6.0
ORD,DFW,1200,1427,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,1300,1527,5.0,6.0
ORD,DFW,900,1132,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,1000,1232,5.0,6.0
ORD,DFW,1545,1828,13930,11298,UA,Central Standard Time,Central Standard Time,100,100,1645,1928,5.0,6.0
ORD,DFW,640,913,13930,11298,UA,Central Standard Time,Central Standard Time,100,100,740,1013,5.0,6.0
ORD,DFW,1750,2026,13930,11298,UA,Central Standard Time,Central Standard Time,100,100,1850,2126,5.0,6.0
ORD,DFW,15,249,13930,11298,UA,Central Standard Time,Central Standard Time,100,100,115,349,5.0,6.0
ORD,DFW,855,1132,13930,11298,UA,Central Standard Time,Central Standard Time,100,100,955,1232,5.0,6.0
ORD,DFW,1950,2227,13930,11298,UA,Central Standard Time,Central Standard Time,100,100,2050,2327,5.0,6.0
ORD,DFW,1003,1242,13930,11298,UA,Central Standard Time,Central Standard Time,100,100,1103,1342,5.0,6.0
ORD,DFW,1251,1530,13930,11298,UA,Central Standard Time,Central Standard Time,100,100,1351,1630,5.0,6.0
ORD,DFW,1120,1348,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,1220,1448,5.0,6.0
ORD,DFW,1345,1613,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,1445,1713,5.0,6.0
ORD,DFW,600,825,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,700,925,5.0,6.0
ORD,DFW,1535,1807,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,1635,1907,5.0,6.0
ORD,DFW,1635,1905,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,1735,2005,5.0,6.0
ORD,DFW,2006,2236,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,2106,2336,5.0,6.0
ORD,DFW,1815,2054,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,1915,2154,5.0,6.0
ORD,DFW,1721,1951,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,1821,2051,5.0,6.0
ORD,DFW,700,937,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,800,1037,5.0,6.0
ORD,DFW,2215,40,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,2315,140,5.0,6.0
ORD,DFW,1305,1531,13930,11298,AA,Central Standard Time,Central Standard Time,100,100,1405,1631,5.0,6.0
AMA,DFW,500,626,10279,11298,AA,Central Standard Time,Central Standard Time,100,100,600,726,6.0,6.0
AMA,DFW,1211,1340,10279,11298,AA,Central Standard Time,Central Standard Time,100,100,1311,1440,6.0,6.0
AMA,DFW,1814,1944,10279,11298,AA,Central Standard Time,Central Standard Time,100,100,1914,2044,6.0,6.0
AMA,DFW,1622,1752,10279,11298,AA,Central Standard Time,Central Standard Time,100,100,1722,1852,6.0,6.0
AMA,DFW,1024,1156,10279,11298,AA,Central Standard Time,Central Standard Time,100,100,1124,1256,6.0,6.0
AMA,DFW,1415,1545,10279,11298,AA,Central Standard Time,Central Standard Time,100,100,1515,1645,6.0,6.0
AMA,DFW,2130,2257,10279,11298,AA,Central Standard Time,Central Standard Time,100,100,2230,2357,6.0,6.0
AMA,DFW,813,946,10279,11298,AA,Central Standard Time,Central Standard Time,100,100,913,1046,6.0,6.0
MSY,DFW,2105,2245,13495,11298,AA,Central Standard Time,Central Standard Time,100,100,2205,2345,6.0,6.0
MSY,DFW,600,744,13495,11298,AA,Central Standard Time,Central Standard Time,100,100,700,844,6.0,6.0
MSY,DFW,938,1121,13495,11298,AA,Central Standard Time,Central Standard Time,100,100,1038,1221,6.0,6.0
MSY,DFW,735,919,13495,11298,AA,Central Standard Time,Central Standard Time,100,100,835,1019,6.0,6.0
MSY,DFW,1232,1415,13495,11298,AA,Central Standard Time,Central Standard Time,100,100,1332,1515,6.0,6.0
MSY,DFW,1602,1746,13495,11298,AA,Central Standard Time,Central Standard Time,100,100,1702,1846,6.0,6.0
MSY,DFW,1739,1924,13495,11298,AA,Central Standard Time,Central Standard Time,100,100,1839,2024,6.0,6.0
MSY,DFW,1945,2128,13495,11298,AA,Central Standard Time,Central Standard Time,100,100,2045,2228,6.0,6.0
MSY,DFW,1119,1301,13495,11298,AA,Central Standard Time,Central Standard Time,100,100,1219,1401,6.0,6.0
DSM,DFW,1747,1951,11423,11298,AA,Central Standard Time,Central Standard Time,100,100,1847,2051,7.0,6.0
DSM,DFW,1249,1450,11423,11298,AA,Central Standard Time,Central Standard Time,100,100,1349,1550,7.0,6.0
DSM,DFW,2121,2318,11423,11298,AA,Central Standard Time,Central Standard Time,100,100,2221,2418,7.0,6.0
DSM,DFW,931,1144,11423,11298,AA,Central Standard Time,Central Standard Time,100,100,1031,1244,7.0,6.0
DSM,DFW,705,917,11423,11298,AA,Central Standard Time,Central Standard Time,100,100,805,1017,7.0,6.0
SAT,DFW,1827,1944,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,1927,2044,6.0,6.0
SAT,DFW,2135,2246,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,2235,2346,6.0,6.0
SAT,DFW,1425,1538,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,1525,1638,6.0,6.0
SAT,DFW,1631,1745,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,1731,1845,6.0,6.0
SAT,DFW,700,816,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,800,916,6.0,6.0
SAT,DFW,1951,2104,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,2051,2204,6.0,6.0
SAT,DFW,927,1041,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,1027,1141,6.0,6.0
SAT,DFW,544,655,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,644,755,6.0,6.0
SAT,DFW,1231,1344,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,1331,1444,6.0,6.0
SAT,DFW,1029,1143,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,1129,1243,6.0,6.0
SAT,DFW,500,611,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,600,711,6.0,6.0
SAT,DFW,804,919,14683,11298,AA,Central Standard Time,Central Standard Time,100,100,904,1019,6.0,6.0
MKE,DFW,1455,1734,13342,11298,AA,Central Standard Time,Central Standard Time,100,100,1555,1834,5.0,6.0
MKE,DFW,1845,2124,13342,11298,AA,Central Standard Time,Central Standard Time,100,100,1945,2224,5.0,6.0
MKE,DFW,640,930,13342,11298,AA,Central Standard Time,Central Standard Time,100,100,740,1030,5.0,6.0
MKE,DFW,954,1237,13342,11298,AA,Central Standard Time,Central Standard Time,100,100,1054,1337,5.0,6.0
MSP,DFW,2000,2235,13487,11298,AA,Central Standard Time,Central Standard Time,100,100,2100,2335,5.0,6.0
MSP,DFW,1321,1556,13487,11298,AA,Central Standard Time,Central Standard Time,100,100,1421,1656,5.0,6.0
MSP,DFW,1845,2125,13487,11298,AA,Central Standard Time,Central Standard Time,100,100,1945,2225,5.0,6.0
MSP,DFW,1052,1331,13487,11298,AA,Central Standard Time,Central Standard Time,100,100,1152,1431,5.0,6.0
MSP,DFW,656,950,13487,11298,AA,Central Standard Time,Central Standard Time,100,100,756,1050,5.0,6.0
MSP,DFW,1523,1805,13487,11298,AA,Central Standard Time,Central Standard Time,100,100,1623,1905,5.0,6.0
MSP,DFW,841,1131,13487,11298,AA,Central Standard Time,Central Standard Time,100,100,941,1231,5.0,6.0
MSP,DFW,1525,1800,13487,11298,DL,Central Standard Time,Central Standard Time,100,100,1625,1900,5.0,6.0
MSP,DFW,1005,1244,13487,11298,DL,Central Standard Time,Central Standard Time,100,100,1105,1344,5.0,6.0
MSP,DFW,1747,2024,13487,11298,DL,Central Standard Time,Central Standard Time,100,100,1847,2124,5.0,6.0
MSP,DFW,1329,1602,13487,11298,DL,Central Standard Time,Central Standard Time,100,100,1429,1702,5.0,6.0
MSP,DFW,710,954,13487,11298,DL,Central Standard Time,Central Standard Time,100,100,810,1054,5.0,6.0
MSP,DFW,1945,2223,13487,11298,DL,Central Standard Time,Central Standard Time,100,100,2045,2323,5.0,6.0
MSP,DFW,503,756,13487,11298,AA,Central Standard Time,Central Standard Time,100,100,603,856,5.0,6.0
OMA,DFW,2105,2258,13871,11298,AA,Central Standard Time,Central Standard Time,100,100,2205,2358,7.0,6.0
OMA,DFW,1942,2139,13871,11298,AA,Central Standard Time,Central Standard Time,100,100,2042,2239,7.0,6.0
OMA,DFW,933,1137,13871,11298,AA,Central Standard Time,Central Standard Time,100,100,1033,1237,7.0,6.0
OMA,DFW,1604,1806,13871,11298,AA,Central Standard Time,Central Standard Time,100,100,1704,1906,7.0,6.0
OMA,DFW,600,805,13871,11298,AA,Central Standard Time,Central Standard Time,100,100,700,905,7.0,6.0
FAR,DFW,1229,1512,11637,11298,AA,Central Standard Time,Central Standard Time,100,100,1329,1612,8.0,6.0
FAR,DFW,630,924,11637,11298,AA,Central Standard Time,Central Standard Time,100,100,730,1024,8.0,6.0
STL,DFW,1247,1444,15016,11298,AA,Central Standard Time,Central Standard Time,100,100,1347,1544,7.0,6.0
STL,DFW,938,1134,15016,11298,AA,Central Standard Time,Central Standard Time,100,100,1038,1234,7.0,6.0
STL,DFW,723,926,15016,11298,AA,Central Standard Time,Central Standard Time,100,100,823,1026,7.0,6.0
STL,DFW,1930,2126,15016,11298,AA,Central Standard Time,Central Standard Time,100,100,2030,2226,7.0,6.0
STL,DFW,600,759,15016,11298,AA,Central Standard Time,Central Standard Time,100,100,700,859,7.0,6.0
STL,DFW,1554,1750,15016,11298,AA,Central Standard Time,Central Standard Time,100,100,1654,1850,7.0,6.0
STL,DFW,1137,1334,15016,11298,AA,Central Standard Time,Central Standard Time,100,100,1237,1434,7.0,6.0
STL,DFW,1722,1922,15016,11298,AA,Central Standard Time,Central Standard Time,100,100,1822,2022,7.0,6.0
STL,DFW,2125,2317,15016,11298,AA,Central Standard Time,Central Standard Time,100,100,2225,2417,7.0,6.0
MCI,DFW,1759,1947,13198,11298,AA,Central Standard Time,Central Standard Time,100,100,1859,2047,7.0,6.0
MCI,DFW,603,754,13198,11298,AA,Central Standard Time,Central Standard Time,100,100,703,854,7.0,6.0
MCI,DFW,1247,1429,13198,11298,AA,Central Standard Time,Central Standard Time,100,100,1347,1529,7.0,6.0
MCI,DFW,723,915,13198,11298,AA,Central Standard Time,Central Standard Time,100,100,823,1015,7.0,6.0
MCI,DFW,1929,2112,13198,11298,AA,Central Standard Time,Central Standard Time,100,100,2029,2212,7.0,6.0
MCI,DFW,918,1104,13198,11298,AA,Central Standard Time,Central Standard Time,100,100,1018,1204,7.0,6.0
MCI,DFW,1456,1642,13198,11298,AA,Central Standard Time,Central Standard Time,100,100,1556,1742,7.0,6.0
MCI,DFW,2125,2304,13198,11298,AA,Central Standard Time,Central Standard Time,100,100,2225,2404,7.0,6.0
MCI,DFW,1121,1303,13198,11298,AA,Central Standard Time,Central Standard Time,100,100,1221,1403,7.0,6.0
BMI,DFW,2059,2316,10685,11298,AA,Central Standard Time,Central Standard Time,100,100,2159,2416,5.0,6.0
BMI,DFW,700,921,10685,11298,AA,Central Standard Time,Central Standard Time,100,100,800,1021,5.0,6.0
BMI,DFW,1530,1744,10685,11298,AA,Central Standard Time,Central Standard Time,100,100,1630,1844,5.0,6.0
MEM,DFW,743,930,13244,11298,AA,Central Standard Time,Central Standard Time,100,100,843,1030,4.0,6.0
MEM,DFW,1758,1944,13244,11298,AA,Central Standard Time,Central Standard Time,100,100,1858,2044,4.0,6.0
MEM,DFW,600,743,13244,11298,AA,Central Standard Time,Central Standard Time,100,100,700,843,4.0,6.0
MEM,DFW,1619,1803,13244,11298,AA,Central Standard Time,Central Standard Time,100,100,1719,1903,4.0,6.0
MEM,DFW,2125,2304,13244,11298,AA,Central Standard Time,Central Standard Time,100,100,2225,2404,4.0,6.0
MEM,DFW,1430,1613,13244,11298,AA,Central Standard Time,Central Standard Time,100,100,1530,1713,4.0,6.0
MEM,DFW,915,1059,13244,11298,AA,Central Standard Time,Central Standard Time,100,100,1015,1159,4.0,6.0
MEM,DFW,1942,2130,13244,11298,AA,Central Standard Time,Central Standard Time,100,100,2042,2230,4.0,6.0
MEM,DFW,1231,1413,13244,11298,AA,Central Standard Time,Central Standard Time,100,100,1331,1513,4.0,6.0
BNA,DFW,1718,1934,10693,11298,AA,Central Standard Time,Central Standard Time,100,100,1818,2034,4.0,6.0
BNA,DFW,1525,1744,10693,11298,AA,Central Standard Time,Central Standard Time,100,100,1625,1844,4.0,6.0
BNA,DFW,927,1141,10693,11298,AA,Central Standard Time,Central Standard Time,100,100,1027,1241,4.0,6.0
BNA,DFW,2058,2309,10693,11298,AA,Central Standard Time,Central Standard Time,100,100,2158,2409,4.0,6.0
BNA,DFW,1139,1352,10693,11298,AA,Central Standard Time,Central Standard Time,100,100,1239,1452,4.0,6.0
BNA,DFW,1329,1543,10693,11298,AA,Central Standard Time,Central Standard Time,100,100,1429,1643,4.0,6.0
BNA,DFW,727,947,10693,11298,AA,Central Standard Time,Central Standard Time,100,100,827,1047,4.0,6.0
BNA,DFW,1923,2136,10693,11298,AA,Central Standard Time,Central Standard Time,100,100,2023,2236,4.0,6.0
BNA,DFW,541,756,10693,11298,AA,Central Standard Time,Central Standard Time,100,100,641,856,4.0,6.0
PNS,DFW,1917,2124,14193,11298,AA,Central Standard Time,Central Standard Time,100,100,2017,2224,4.0,6.0
PNS,DFW,1300,1505,14193,11298,AA,Central Standard Time,Central Standard Time,100,100,1400,1605,4.0,6.0
PNS,DFW,1556,1801,14193,11298,AA,Central Standard Time,Central Standard Time,100,100,1656,1901,4.0,6.0
PNS,DFW,735,940,14193,11298,AA,Central Standard Time,Central Standard Time,100,100,835,1040,4.0,6.0
OKC,DFW,1652,1801,13851,11298,AA,Central Standard Time,Central Standard Time,100,100,1752,1901,6.0,6.0
OKC,DFW,835,948,13851,11298,AA,Central Standard Time,Central Standard Time,100,100,935,1048,6.0,6.0
OKC,DFW,2212,2324,13851,11298,AA,Central Standard Time,Central Standard Time,100,100,2312,2424,6.0,6.0
OKC,DFW,2023,2139,13851,11298,AA,Central Standard Time,Central Standard Time,100,100,2123,2239,6.0,6.0
OKC,DFW,1430,1543,13851,11298,AA,Central Standard Time,Central Standard Time,100,100,1530,1643,6.0,6.0
OKC,DFW,1019,1128,13851,11298,AA,Central Standard Time,Central Standard Time,100,100,1119,1228,6.0,6.0
OKC,DFW,1821,1933,13851,11298,AA,Central Standard Time,Central Standard Time,100,100,1921,2033,6.0,6.0
OKC,DFW,1232,1337,13851,11298,AA,Central Standard Time,Central Standard Time,100,100,1332,1437,6.0,6.0
OKC,DFW,622,739,13851,11298,AA,Central Standard Time,Central Standard Time,100,100,722,839,6.0,6.0
OKC,DFW,500,617,13851,11298,AA,Central Standard Time,Central Standard Time,100,100,600,717,6.0,6.0
XNA,DFW,1646,1805,15919,11298,AA,Central Standard Time,Central Standard Time,100,100,1746,1905,6.0,6.0
XNA,DFW,1420,1543,15919,11298,AA,Central Standard Time,Central Standard Time,100,100,1520,1643,6.0,6.0
XNA,DFW,1217,1333,15919,11298,AA,Central Standard Time,Central Standard Time,100,100,1317,1433,6.0,6.0
XNA,DFW,629,752,15919,11298,AA,Central Standard Time,Central Standard Time,100,100,729,852,6.0,6.0
XNA,DFW,1021,1144,15919,11298,AA,Central Standard Time,Central Standard Time,100,100,1121,1244,6.0,6.0
XNA,DFW,802,926,15919,11298,AA,Central Standard Time,Central Standard Time,100,100,902,1026,6.0,6.0
XNA,DFW,1830,1950,15919,11298,AA,Central Standard Time,Central Standard Time,100,100,1930,2050,6.0,6.0
XNA,DFW,500,626,15919,11298,AA,Central Standard Time,Central Standard Time,100,100,600,726,6.0,6.0
XNA,DFW,2105,2226,15919,11298,AA,Central Standard Time,Central Standard Time,100,100,2205,2326,6.0,6.0
XNA,DFW,915,1034,15919,11298,AA,Central Standard Time,Central Standard Time,100,100,1015,1134,6.0,6.0
IAH,DFW,1640,1802,12266,11298,UA,Central Standard Time,Central Standard Time,100,100,1740,1902,6.0,6.0
IAH,DFW,1200,1323,12266,11298,UA,Central Standard Time,Central Standard Time,100,100,1300,1423,6.0,6.0
IAH,DFW,740,901,12266,11298,UA,Central Standard Time,Central Standard Time,100,100,840,1001,6.0,6.0
IAH,DFW,2132,2249,12266,11298,UA,Central Standard Time,Central Standard Time,100,100,2232,2349,6.0,6.0
IAH,DFW,935,1056,12266,11298,UA,Central Standard Time,Central Standard Time,100,100,1035,1156,6.0,6.0
IAH,DFW,2016,2133,12266,11298,AA,Central Standard Time,Central Standard Time,100,100,2116,2233,6.0,6.0
IAH,DFW,2359,113,12266,11298,UA,Central Standard Time,Central Standard Time,100,100,2459,213,6.0,6.0
IAH,DFW,1809,1932,12266,11298,UA,Central Standard Time,Central Standard Time,100,100,1909,2032,6.0,6.0
IAH,DFW,1435,1554,12266,11298,UA,Central Standard Time,Central Standard Time,100,100,1535,1654,6.0,6.0
IAH,DFW,11,126,12266,11298,UA,Central Standard Time,Central Standard Time,100,100,111,226,6.0,6.0
IAH,DFW,1950,2109,12266,11298,UA,Central Standard Time,Central Standard Time,100,100,2050,2209,6.0,6.0
IAH,DFW,1421,1537,12266,11298,AA,Central Standard Time,Central Standard Time,100,100,1521,1637,6.0,6.0
IAH,DFW,1224,1343,12266,11298,AA,Central Standard Time,Central Standard Time,100,100,1324,1443,6.0,6.0
IAH,DFW,755,915,12266,11298,AA,Central Standard Time,Central Standard Time,100,100,855,1015,6.0,6.0
IAH,DFW,500,612,12266,11298,AA,Central Standard Time,Central Standard Time,100,100,600,712,6.0,6.0
IAH,DFW,616,731,12266,11298,AA,Central Standard Time,Central Standard Time,100,100,716,831,6.0,6.0
IAH,DFW,2150,2304,12266,11298,AA,Central Standard Time,Central Standard Time,100,100,2250,2404,6.0,6.0
IAH,DFW,1827,1946,12266,11298,AA,Central Standard Time,Central Standard Time,100,100,1927,2046,6.0,6.0
IAH,DFW,1622,1743,12266,11298,AA,Central Standard Time,Central Standard Time,100,100,1722,1843,6.0,6.0
IAH,DFW,1027,1148,12266,11298,AA,Central Standard Time,Central Standard Time,100,100,1127,1248,6.0,6.0
MSN,DFW,1706,1945,13485,11298,AA,Central Standard Time,Central Standard Time,100,100,1806,2045,5.0,6.0
MSN,DFW,705,941,13485,11298,AA,Central Standard Time,Central Standard Time,100,100,805,1041,5.0,6.0
MSN,DFW,2040,2312,13485,11298,AA,Central Standard Time,Central Standard Time,100,100,2140,2412,5.0,6.0
MSN,DFW,1308,1544,13485,11298,AA,Central Standard Time,Central Standard Time,100,100,1408,1644,5.0,6.0
LIT,DFW,500,620,12992,11298,AA,Central Standard Time,Central Standard Time,100,100,600,720,6.0,6.0
LIT,DFW,1418,1541,12992,11298,AA,Central Standard Time,Central Standard Time,100,100,1518,1641,6.0,6.0
LIT,DFW,1022,1144,12992,11298,AA,Central Standard Time,Central Standard Time,100,100,1122,1244,6.0,6.0
LIT,DFW,811,937,12992,11298,AA,Central Standard Time,Central Standard Time,100,100,911,1037,6.0,6.0
LIT,DFW,1624,1747,12992,11298,AA,Central Standard Time,Central Standard Time,100,100,1724,1847,6.0,6.0
LIT,DFW,2055,2220,12992,11298,AA,Central Standard Time,Central Standard Time,100,100,2155,2320,6.0,6.0
LIT,DFW,1218,1339,12992,11298,AA,Central Standard Time,Central Standard Time,100,100,1318,1439,6.0,6.0
LIT,DFW,2011,2137,12992,11298,AA,Central Standard Time,Central Standard Time,100,100,2111,2237,6.0,6.0
LIT,DFW,636,801,12992,11298,AA,Central Standard Time,Central Standard Time,100,100,736,901,6.0,6.0
LIT,DFW,1823,1950,12992,11298,AA,Central Standard Time,Central Standard Time,100,100,1923,2050,6.0,6.0
FSD,DFW,2055,2314,11775,11298,AA,Central Standard Time,Central Standard Time,100,100,2155,2414,8.0,6.0
FSD,DFW,1121,1340,11775,11298,AA,Central Standard Time,Central Standard Time,100,100,1221,1440,8.0,6.0
FSD,DFW,1522,1740,11775,11298,AA,Central Standard Time,Central Standard Time,100,100,1622,1840,8.0,6.0
FSD,DFW,700,927,11775,11298,AA,Central Standard Time,Central Standard Time,100,100,800,1027,8.0,6.0
LFT,DFW,2203,2334,12951,11298,AA,Central Standard Time,Central Standard Time,100,100,2303,2434,6.0,6.0
LFT,DFW,745,919,12951,11298,AA,Central Standard Time,Central Standard Time,100,100,845,1019,6.0,6.0
LFT,DFW,1418,1550,12951,11298,AA,Central Standard Time,Central Standard Time,100,100,1518,1650,6.0,6.0
LFT,DFW,620,752,12951,11298,AA,Central Standard Time,Central Standard Time,100,100,720,852,6.0,6.0
LFT,DFW,1949,2120,12951,11298,AA,Central Standard Time,Central Standard Time,100,100,2049,2220,6.0,6.0
LFT,DFW,1217,1345,12951,11298,AA,Central Standard Time,Central Standard Time,100,100,1317,1445,6.0,6.0
AEX,DFW,1626,1744,10185,11298,AA,Central Standard Time,Central Standard Time,100,100,1726,1844,6.0,6.0
AEX,DFW,1227,1345,10185,11298,AA,Central Standard Time,Central Standard Time,100,100,1327,1445,6.0,6.0
AEX,DFW,600,719,10185,11298,AA,Central Standard Time,Central Standard Time,100,100,700,819,6.0,6.0
SGF,DFW,615,755,14783,11298,AA,Central Standard Time,Central Standard Time,100,100,715,855,7.0,6.0
SGF,DFW,1219,1355,14783,11298,AA,Central Standard Time,Central Standard Time,100,100,1319,1455,7.0,6.0
SGF,DFW,1405,1534,14783,11298,AA,Central Standard Time,Central Standard Time,100,100,1505,1634,7.0,6.0
SGF,DFW,1820,1955,14783,11298,AA,Central Standard Time,Central Standard Time,100,100,1920,2055,7.0,6.0
SGF,DFW,2110,2242,14783,11298,AA,Central Standard Time,Central Standard Time,100,100,2210,2342,7.0,6.0
SGF,DFW,1625,1759,14783,11298,AA,Central Standard Time,Central Standard Time,100,100,1725,1859,7.0,6.0
SGF,DFW,755,939,14783,11298,AA,Central Standard Time,Central Standard Time,100,100,855,1039,7.0,6.0
SGF,DFW,1039,1213,14783,11298,AA,Central Standard Time,Central Standard Time,100,100,1139,1313,7.0,6.0
SHV,DFW,1821,1931,14814,11298,AA,Central Standard Time,Central Standard Time,100,100,1921,2031,6.0,6.0
SHV,DFW,620,727,14814,11298,AA,Central Standard Time,Central Standard Time,100,100,720,827,6.0,6.0
SHV,DFW,1033,1140,14814,11298,AA,Central Standard Time,Central Standard Time,100,100,1133,1240,6.0,6.0
SHV,DFW,505,607,14814,11298,AA,Central Standard Time,Central Standard Time,100,100,605,707,6.0,6.0
SHV,DFW,1228,1335,14814,11298,AA,Central Standard Time,Central Standard Time,100,100,1328,1435,6.0,6.0
SHV,DFW,2014,2125,14814,11298,AA,Central Standard Time,Central Standard Time,100,100,2114,2225,6.0,6.0
SHV,DFW,2203,2313,14814,11298,AA,Central Standard Time,Central Standard Time,100,100,2303,2413,6.0,6.0
SHV,DFW,1628,1735,14814,11298,AA,Central Standard Time,Central Standard Time,100,100,1728,1835,6.0,6.0
EVV,DFW,1541,1756,11612,11298,AA,Central Standard Time,Central Standard Time,100,100,1641,1856,5.0,6.0
EVV,DFW,645,914,11612,11298,AA,Central Standard Time,Central Standard Time,100,100,745,1014,5.0,6.0
BTR,DFW,945,1123,10781,11298,AA,Central Standard Time,Central Standard Time,100,100,1045,1223,6.0,6.0
BTR,DFW,2100,2236,10781,11298,AA,Central Standard Time,Central Standard Time,100,100,2200,2336,6.0,6.0
BTR,DFW,1911,2051,10781,11298,AA,Central Standard Time,Central Standard Time,100,100,2011,2151,6.0,6.0
BTR,DFW,738,916,10781,11298,AA,Central Standard Time,Central Standard Time,100,100,838,1016,6.0,6.0
BTR,DFW,600,735,10781,11298,AA,Central Standard Time,Central Standard Time,100,100,700,835,6.0,6.0
BTR,DFW,1419,1558,10781,11298,AA,Central Standard Time,Central Standard Time,100,100,1519,1658,6.0,6.0
BTR,DFW,1225,1404,10781,11298,AA,Central Standard Time,Central Standard Time,100,100,1325,1504,6.0,6.0
BHM,DFW,735,955,10599,11298,AA,Central Standard Time,Central Standard Time,100,100,835,1055,4.0,6.0
BHM,DFW,1452,1704,10599,11298,AA,Central Standard Time,Central Standard Time,100,100,1552,1804,4.0,6.0
BHM,DFW,1921,2134,10599,11298,AA,Central Standard Time,Central Standard Time,100,100,2021,2234,4.0,6.0
BHM,DFW,1732,1945,10599,11298,AA,Central Standard Time,Central Standard Time,100,100,1832,2045,4.0,6.0
BHM,DFW,2055,2309,10599,11298,AA,Central Standard Time,Central Standard Time,100,100,2155,2409,4.0,6.0
BHM,DFW,918,1130,10599,11298,AA,Central Standard Time,Central Standard Time,100,100,1018,1230,4.0,6.0
BHM,DFW,1242,1453,10599,11298,AA,Central Standard Time,Central Standard Time,100,100,1342,1553,4.0,6.0
MLI,DFW,729,952,13367,11298,AA,Central Standard Time,Central Standard Time,100,100,829,1052,5.0,6.0
MLI,DFW,1335,1548,13367,11298,AA,Central Standard Time,Central Standard Time,100,100,1435,1648,5.0,6.0
TUL,DFW,500,610,15370,11298,AA,Central Standard Time,Central Standard Time,100,100,600,710,6.0,6.0
TUL,DFW,641,801,15370,11298,AA,Central Standard Time,Central Standard Time,100,100,741,901,6.0,6.0
TUL,DFW,1425,1544,15370,11298,AA,Central Standard Time,Central Standard Time,100,100,1525,1644,6.0,6.0
TUL,DFW,820,942,15370,11298,AA,Central Standard Time,Central Standard Time,100,100,920,1042,6.0,6.0
TUL,DFW,928,1047,15370,11298,AA,Central Standard Time,Central Standard Time,100,100,1028,1147,6.0,6.0
TUL,DFW,2115,2230,15370,11298,AA,Central Standard Time,Central Standard Time,100,100,2215,2330,6.0,6.0
TUL,DFW,1225,1343,15370,11298,AA,Central Standard Time,Central Standard Time,100,100,1325,1443,6.0,6.0
